"","Hole.id","Mean","StdDev"
"1","PB2",0.6015,0.0597535107604969
"2","PB38",0.4645975,0.0610888588747397
"3","PB122",0.5716325,0.0604500857322511
"4","PB192",0.8534775,0.0438310575951687
"5","PB267",0.7858425,0.0506853982396259
